iata_code,city_rus
BAQ,Барранкуилла
BAR,"Бейкер-Айленд, шт. Аляска"
BAS,Балале
BAV,Баотоу
BAW,Биавонке
BAX,Барнаул
BAY,Байя Маре
BBA,Балмаседа
BBC,Бэй Сити
BBG,Бутаритари
BBH,Барт
BBI,Бхубанесвар
BBJ,Битбург
BBK,Касане
BBL,Баболсар
BBM,Баттамбанг
BBO,Бербера
BBT,Берберати
BBU,Бухарест
BBY,Бамбари
BBZ,Замбези
BCA,Баракоа
BCD,Баколод
BCF,Бука
BCG,Бемичи
BCH,Баукау
BCL,Барра-Колорадо
BCM,Бакэу
BCN,Барселона
BCQ,"Вейл-Игл, шт. Колорадо"
BCT,Бока Ратон
BCU,Баучи
BCX,Белорецк
BCY,Бульчи
BDB,Бандаберг
BDH,Бандар-Ленге
BDI,Берд-Айленд
BDJ,Банджармасин
BDM,Бандирма
BDN,Бадин
BDO,Бандунг
BDP,Бхадрапур
BDS,Бриндиси
BDT,Гбадолите
BDU,Бордуфос
BDV,Моба
BDZ,Байндунг
BEA,Берейна
BEC,Вичита
BEF,Блуфилдс
BEG,Белград
BEH,Бентон Харбор
BEI,Бейка
BEL,Белем
BEM,Боссембеле
BEO,Ньюкасл
BEP,Беллари
BER,Берлин
BES,Брест
BEW,Бейра
BEY,Бейрут
BEZ,Беру
BFE,Билефельд
BFH,Куритиба
BFI,Сиэттл
BFJ,Ба
BFL,Бейкерсфилд
BFM,Мобайл
BFU,Бенгбу
BGC,Браганса
BGH,Боге
BGK,Биг-Крик
BGL,Баглунг
BGO,Берген
BGP,Бонго
BGR,Бангор
BGU,Бангассу
BGW,Багдад
BGY,Бергамо
BGZ,Брага
BHB,Бар Харбор
BHE,Бленхайм
BHF,Бахья-Купика
BHG,Брюс-Лагуна
BHH,Биша
BHJ,Бхудж
BHK,Бухара
BHL,Бахиа-Ангелес
BHN,Бейхан
BHO,Бхопал
BHP,Бхойпур
BHR,Бхаратпур
BHS,Батерст
BHU,Бхавнагар
BHV,Бахавалпур
BHW,Саргодха
BHY,Бейхай
BIA,Бастия
BIB,Байдоа
BIC,Биг-Крик
BIF,Эль Пасо
BIH,Бишоп
BII,Бикини-Атолл
BIL,Биллингс
BIN,Бамиан
BIO,Билбао
BIQ,Биарриц
BIR,Биратнагар
BIS,Бисмарк
BIT,Байтади
BIU,Билдудалур
BIV,Бриа
BIY,Бишо
BIZ,Бимин
BJD,Баккафьордур
BJF,Ботсфьорд
BJG,Болаанг
BJH,Баджханг
BJJ,Вустер
BJK,Бенджина
BJN,Бахоне
BJO,Бермехо
BJR,Бахар-Дар
BJU,Баджура
BJV,Бодрум
BJW,Баджава
BJY,Белград
BJZ,Бадахос
BKB,Биканер
BKJ,Боке
BKK,Бангкок
BKR,Бокоро
BKS,Бенгкулу
BKZ,Букоба
BLA,Барселона
BLB,Балбоа
BLC,Бали
BLE,Борланг
BLJ,Батна
BLL,Биллунд
BLP,Беллависта
BLQ,Болонья
BLR,Бангалор
BLV,Белльвиль
BLX,Беллуно
BLY,Белмаллет
BMA,Стокгольм
BMB,Бумба
BMD,Бело
BME,Брум
BMF,Бакума
BMH,Бомай
BMJ,Барамита
BMK,Боркум
BML,Берлин
BMM,Битам
BMN,Бамерни
BMO,Бамо
BMP,Бремптон Айленд
BMQ,Бамбури
BMU,Бима
BMW,Борж-Бажи-Мохтар
BMZ,Баму
BNB,Боэнде
BNC,Бени
BND,Бандар-Аббас
BNE,Брисбан
BNH,Хартфорд
BNI,Бенин-Сити
BNK,Баллина
BNM,Бодинуму
BNN,Броннойзунд
BNP,Банну
BNR,Банфора
BNS,Баринас
BNT,Бунди
BNU,Блюменау
BNV,Боана
BNX,Баня-Лука
BNY,Беллона
BNZ,Банц
BOA,Бома
BOD,Бордо
BOE,Бунджи
BOG,Богота
BOJ,Бургас
BOO,Бодо
BOP,Буар
BOQ,Боку
BOR,Белфорт
BOS,Бостон
BOU,Борже
BOV,Боанг
BOZ,Бозум
BPB,Бориди
BPD,Бапи
BPE,Баган
BPH,Бислиг
BPN,Баликпапан
BPS,Порто Сегуро
BPU,Беппу
BPY,Бесалампи
BQA,Балер
BQE,Бубаку
BQS,Благовещенск
BQT,Брест
BRE,Бремен
BRH,Брахман
BRI,Бари
BRM,Баркисимето
BRN,Берне
BRP,Биару
BRQ,Брно
BRS,Бристоль
BRU,Брюссель
BRV,Бременхавен
BRX,Барахона
BSA,Боссасо
BSB,Бразилия
BSC,Бахья-Солано
BSD,Баошань
BSE,Семантан
BSG,Бата
BSK,Бискра
BSN,Боссанга
BSO,Баско
BSP,Бенсбах
BST,Бост
BSU,Базанкусу
BSX,Бассейн
BSY,Бардера
BTB,Бету
BTE,Бонте
BTG,Батангафо
BTJ,Банда Асе
BTK,Братск
BTO,Ботопасье
BTQ,Бутаре
BTR,Батон Руж
BTS,Братислава
BTU,Бинтулу
BTW,Бату-Личин
BTZ,Бурса
BUD,Будапешт
BUG,Бенгела
BUI,Бокондини
BUK,Альбук
BUL,Булоло
BUN,Буэнавентура
BUO,Бурао
BUP,Бхатинда
BUQ,Булауайо
BUR,Бурбанк
BUS,Батуми
BUT,Бертонвуд
BUV,Белла-Юнион
BUX,Буниа
BUY,Банбери
BUZ,Бушехр
BVA,Париж
BVE,Брив-ла-Гайард
BVF,Буа
BVG,Берлевог
BVI,Бирдсвилл
BVM,Бельмонте
BVP,Боловип
BWA,Бхайрава
BWE,Брауншвайг
BWH,Баттерворт
BWJ,Баван
BWK,Бол
BWN,Бандар Сери Бегаван
BWO,Балаково
BWU,Сидней
BWY,Вудбридж
BXB,Бабо
BXD,Баде
BXE,Бакель
BXG,Бендиго
BXH,Балхаш
BXJ,Бурундай
BXL,Блю-Лагун
BXM,Батом
BXN,Бодрум
BXO,Буокс
BXT,Бонтанг
BXU,Бутуань
BYB,Дибаа
BYC,Якуйба
BYD,Бейда
BYL,Белла-Елла
BYM,Байамо
BYQ,Бунью
BYT,Бантри
BYU,Байройт
BZA,Бонанса
BZC,Бузиос
BZG,Быдгощ
BZI,Балыкесир
BZK,Брянск
BZL,Барисал
BZM,Берген Оп Зоом
BZO,Болзано
BZR,Безьер
BZY,Бельцы
BZZ,Оксфорд
CAA,Катакамас
CAB,Кабинда
CAG,Кальяри
CAH,Ка-Мау
CAI,Каир
CAJ,Канайма
CAL,Кемпбелтаун
CAM,Камири
CAN,Гуанчжоу
CAP,Кеп-Гаитиен
CAQ,Каукасиа
CAS,Касабланка
CAT,Кэт-Айленд
CAV,Казомбо
CAX,Карлисл
CBB,Качабамба
CBD,Кар-Никобар
CBG,Кембрдидж
CBJ,Кабо-Рожо
CBL,Сьюдад-Боливар
CBN,Чиребон
CBO,Котабато
CBP,Коимбра
CBQ,Калабар
CBR,Канберра
CBS,Кабимас
CBU,Коттбус
CBV,Кобан
CCC,Кайо Коко
CCD,Лос Анджелес
CCF,Каркассон
CCH,Чиле-Чико
CCL,Шиншилла
CCN,Чагчаран
CCO,Каримагуа
CCP,Консепсьон
CCS,Каракас
CCT,Колония-Катриэль
CCV,Крейг-Кав
CCX,Касерес
CDA,Куинда
CDC,Сидар Сити
CDE,Каледония
CDG,Париж
CDO,Крадок
CDP,Куддапах
CDS,Чайлдресс
CDZ,Кадиз
CEA,Вичита
CEB,Кебу
CEE,Череповец
CEG,Честер
CEI,Чанг-Рай
CEJ,Чернигов
CEK,Челябинск
CEL,Кейп-Элутера
CEN,Сиудад-Обрегон
CEO,Вако-Кунго
CEP,Консепсьон
CEQ,Канны
CER,Шербург
CET,Шоле
CEZ,Кортез
CFE,Клермон-Ферран
CFG,Сиенфуэгос
CFO,Конфреца
CFR,Кан
CFS,Коффс Харбор
CGB,Куиаба
CGC,Кейп-Глусестер
CGD,Чандэ
CGE,Кембрдидж
CGG,Касигуран
CGH,Сао Паоло
CGJ,Чингола
CGM,Камигуин
CGN,Кельн
CGO,Чженчжоу
CGQ,Чаньчунь
CGR,Кампо Гранде
CGS,Колледж парк
CGT,Шингитти
CGU,Сьюдад-Гуаяна
CGX,Чикаго
CGY,Кагаян Де Оро
CHB,Чилас
CHC,Кристчерч
CHD,Меса
CHG,Чаоян
CHH,Чачапояс
CHI,Чикаго
CHM,Чимботе
CHN,Джеонжу
CHO,Шарлоттсвилль
CHR,Шаторуа
CHT,Чатам-Айленд
CHV,Чавес
CHX,Чангвинола
CHY,Чойсфул-Бей
CIA,Рим
CIF,Чифен
CIH,Чанжи
CIJ,Кобиха
CIM,Кимитарра
CIO,Консепсьон
CIP,Чипата
CIQ,Чикумула
CIR,Каир
CIS,Кентон-Айленд
CIT,Шимкент
CIU,Со Сен Мари
CIX,Чиклайо
CIY,Комизо
CJA,Кахамарка
CJB,Коимбаторе
CJC,Калама
CJD,Кандилежас
CJI,Сиудад Реаль
CJL,Читрал
CJM,Чампхон
CJS,Сиудад Хуарез
CKA,Чероки
CKC,Черкассы
CKG,Чонсинь
CKH,Чокурдах
CKK,Чероки
CKL,Чкаловский
CKV,Кларксвилл
CKZ,Канаккале
CLA,Комилла
CLB,Кастлбар
CLJ,Клуж-Напока
CLM,Порт Анжелес
CLO,Кали
CLQ,Колима
CLT,Шарлотт
CLW,Клируотер
CLX,Клоринда
CLY,Кальви
CLZ,Калабосо
CMB,Коломбо
CMF,Шамбери
CMM,Кармелита
CMN,Касабланка
CMO,Оббиа
CMR,Колмар
CMS,Скускубан
CMT,Камета
CMV,Коромандель
CMW,Камагуэй
CMX,Хэнкок
CMY,Спарта
CNA,Кананеа
CND,Константа
CNG,Коньяк
CNL,Зиндаль
CNN,Чульман
CNQ,Корриентес
CNR,Чаньяраль
CNS,Кернс
CNT,Чарата
CNX,Чанг-Май
CNY,Моаб
CNZ,Кангамба
COA,Колумбия
COG,Кондото
COH,Куч-Бехар
COK,Кочи
COR,Кордова
COS,Колорадо Спрингз
COU,Колумбия
COV,Ковилья
COW,Кокимбо
COX,Конго-Таун
COZ,Констанца
CPA,Кейп-Палмас
CPB,Капургана
CPD,Кубер Педи
CPE,Кампеше
CPF,Чепу
CPH,Копенгаген
CPL,Чапаррал
CPO,Копьяпо
CPQ,Кампинас
CPT,Кейптаун
CQF,Кале
CQP,Кейп-Флеттери
CQT,Какуэтаниа
CRA,Крайова
CRC,Картаго
CRE,Миртл Бич
CRF,Карнот
CRJ,Курабье
CRL,Брюссель
CRM,Катарман
CRN,Кромарти
CRQ,Каравелас
CRR,Керес
CRV,Кротон
CRX,Коринт
CSB,Карансебеш
CSC,Канас
CSH,Соловецкий
CSI,Феникс
CSK,Кеп-Скирринг
CSR,Касуарито
CST,Кастэвей
CSX,Чанша
CSY,Чебоксары
CTA,Катания
CTC,Катамарка
CTE,Карти
CTG,Картегена
CTI,Куито
CTM,Четумал
CTN,Куктаун
CTR,Кэттл-Крик
CTS,Саппоро
CTT,Ле-Кастейе
CTU,Ченгду
CUA,Сиудад-Конститусьон
CUB,Колумбия
CUD,Калундра
CUE,Куенка
CUF,Кунео
CUI,Куррилло
CUJ,Кулион
CUM,Кумана
CUN,Канкун
CUO,Каруру
CUP,Карупано
CUU,Чихуахуа
CUX,Корпус Кристи
CUZ,Куско
CVA,Питтсборо
CVE,Ковенас
CVF,Куршевель
CVH,Кавиахуэ
CVI,Калета-Оливия
CVJ,Куернавака
CVL,Кейп-Вогель
CVM,Сиудад-Виктория
CVO,Олбани
CWB,Куритиба
CWC,Черновцы
CWP,Кампбеллпур
CXH,Ванкувер
CXJ,Касьяс ду Суль
CXN,Кандала
CXR,Нха Транг
CYA,Лес-Кейес
CYC,Кайе-Чапел
CYI,Чиайи
CYL,Койолес
CYO,Кайо Ларго Дель Сур
CYP,Калбайог
CYR,Колония
CYS,Чейнни
CYX,Черский
CYZ,Кауаян
CZA,Чинчен Ица
CZE,Коро
CZH,Корозал
CZM,Коцумел
CZU,Корозал
CZW,Щесточова
CZX,Чангзу
DAB,Дайтона Бич
DAD,Да-Нанг
DAE,Дапаризо
DAF,Доп
DAH,Датина
DAI,Дарцзилин
DAL,Даллас
DAM,Дамаск
DAP,Дарчула
DAT,Датонг
DAU,Дару
DAV,Давид
DAX,Дэцзян
DAZ,Дарваз
DBA,Далбандин
DBD,Дханбад
DBM,Дебра-Маркос
DBN,Дублин
DBO,Дуббо
DBQ,Дюбюк
DBT,Дебра-Табор
DBV,Дубровник
DCM,Кастре
DDG,Даньдон
DDM,Додоима
DDU,Даду
DEB,Дебрецен
DED,Дера Дун
DEL,Нью Дели
DEM,Дембидолло
DEN,Денвер
DEO,Диарборн
DER,Дерим
DES,Десрочес
DET,Детройт
DGA,Дангрига
DGC,Дегабур
DGE,Муджи
DGO,Дуранго
DGP,Даугавпилс
DGR,Даргавиль
DGT,Думагете
DGU,Дедугу
DHA,Дхахран
DHF,Абу-Даби
DHI,Дхангархи
DHL,Дала
DHM,Дхарамсала
DIB,Дибругарх
DIC,Дили
DIJ,Дижон
DIL,Дили
DIP,Диапага
DIW,Диквелла
DIY,Диярбакыр
DJA,Джугу
DJB,Джамби
DJE,Джерба
DJM,Джамбала
DJU,Джупивогур
DKI,Данк Айленд
DKR,Дакар
DKS,Диксон
DLA,Дуала
DLC,Далиан
DLD,Гейло
DLF,Дель Рио
DLI,Далат
DLM,Даламан
DLY,Диллонс-Бей
DMA,Туксон
DMB,Жамбыл
DME,Москва
DMR,Дамар
DMU,Димапур
DNA,Окинава
DND,Данди
DNE,Даллас
DNF,Дерна
DNH,Дунхуань
DNI,Вад-Медани
DNK,Днепропетровск
DNP,Данг
DNR,Динард
DNT,Санта-Ана
DNU,Динангат
DNX,Диндер
DNZ,Денизли
DOA,Доани
DOC,Дорноч
DOD,Додома
DOE,Дьомье
DOG,Донгола
DOH,Доха
DOI,Дойни
DOK,Донецк
DOL,Дювиль
DOM,Доминика
DON,Дос-Лагунас
DOO,Доробисоро
DOP,Дольпа
DOR,Дори
DOS,Диос
DPA,Чикаго
DPE,Дьеп
DPL,Диполог
DPO,Девонпорт
DPU,Думпу
DRJ,Дриетаббетье
DRM,Драма
DRO,Дуранго
DRS,Дрезден
DRT,Дель Рио
DRW,Дарвин
DSC,Дшанг
DSD,Ла-Дезираде
DSE,Десси
DSI,Дестин
DSK,Дера-Исмаил-Хан
DSL,Дару
DTD,Датадавай
DTE,Дает
DTH,Долина Смерти
DTM,Дортмунд
DUB,Дублин
DUD,Дунедин
DUE,Дундо
DUM,Думаи
DUN,Дундас
DUR,Дурбан
DUS,Дюссельдорф
DVA,Дева
DVT,Феникс
DWB,Соалала
DWH,Хьюстон
DWN,Оклахома Сити
DWS,Орландо
DXA,До-Альпес
DXB,Дубай
DYG,Дэань
DYR,Анадырь
DZI,Кодаси
DZN,Жезказган
DZU,Дазу
EAB,Аббсе
EAE,Эмей
EAM,Неджран
EAS,Сан-Себастьян
EBA,Остров Эльба
EBD,Эль-Обейд
EBJ,Эсбьерг
EBM,Эль-Борма
EBN,Эбадон
EBR,Батон Руж
EBU,Сент Етьенн
EBW,Эболова
ECH,Эчука
ECO,Эль-Энканто
ECR,Эль-Чарко
ECS,Ньюкасл
EDF,Анкораж
EDI,Эдинбург
EDK,Эль-Дорадо
EDL,Элдорет
EDM,Ла-Рош
EDQ,Эрандике
EFD,Хьюстон
EFG,Эфоги
EFL,Кефалония
EGA,Энгати
EGC,Бержерак
EGI,Вальпараисо
EGL,Негелли
EGM,Сиж
EGO,Белгород
EGS,Эгилсстадир
EHL,Эль-Больсон
EIA,Эйя
EIB,Айзенах
EIE,Енисейск
EIN,Эйндховен
EIY,Эйн-Яхав
EJA,Барранкабермежа
EJH,Ведих
EKB,Экибастуз
EKE,Экереку
EKT,Эскилстуна
ELB,Эль-Банко
ELD,Эль-Дорадо
ELE,Эль-Реал
ELF,Эль-Фашер
ELG,Эль-Голеа
ELJ,Эль-Рекрео
ELL,Эллисрас
ELO,Эльдорадо
ELP,Эль Пасо
ELS,Ист-Лондон
ELT,Тур-Синай-Сити
EMB,Сан-Кристобаль
EME,Эмден
EMG,Эмпангени
EMI,Эмирау
EML,Люцерн
EMN,Нема
EMO,Эмо
EMS,Эмбесса
EMX,Эль-Майтен
EMY,Эль-Минья
ENC,Ненси
ENE,Энде
ENF,Енонтекио
ENH,Энши
ENJ,Эль-Нараньо
ENO,Инкарнасьон
ENS,Энсхеде
ENU,Энугу
EOI,Эдей
EOR,Эль-Дорадо
EOZ,Элорса
EPI,Эпи
EPK,Эпископи
EPL,Эпиналь
EPN,Эпена
EPS,Самана
EPT,Элиптамин
EPU,Парну
EQS,Эскель
ERA,Эригаво
ERC,Эрзинкан
ERD,Бердянск
ERE,Эрейв
ERF,Эрфурт
ERI,Эри
ERS,Виндхек
ERU,Эруме
ERZ,Эрзурум
ESB,Анкара
ESF,Александрия
ESG,Марискал-Эстигар
ESK,Эскишехир
ESL,Элиста
ESR,Сальвадор
ESS,Эссен
ESU,Эссаурия
ETE,Генда-Вуха
ETH,Эйлат
EUA,Эуа
EUG,Юджин
EUM,Ноймюнстер
EUN,Лаайюн
EUO,Паратебуэно
EVG,Свег
EVN,Ереван
EVX,Эвро
EWE,Эвер
EWI,Энаротали
EWK,Ньютон
EWN,Нью Берн
EWO,Эво
EXT,Эксетер
EYL,Йелиман
EYP,Эль-Йопал
EYS,Элийе-Спрингс
EYW,Ки Уэст
EZE,Буэнос-Айрес
EZS,Элязыг
FAA,Фаранах
FAG,Фагурхолсмыри
FAH,Фарах
FAN,Фарсунд
FAO,Фаро
FAR,Фарго
FAS,Фаскрудсфьордур
FAT,Фресно
FAY,Файетвилл
FBD,Файзабад
FCB,Фиксбург
FCH,Фресно
FCM,Миннеаполис
FCO,Рим
FCS,Колорадо Спрингз
FCT,Якима
FDE,Форде
FDH,Фридрихшафен
FDU,Бандунду
FEB,Санфебагар
FEG,Фергана
FER,Фергусонс-Галф
FES,Сан Фернандо
FEW,Чейнни
FEZ,Фес
FFU,Футалеуфу
FGL,Фокс Гласиер
FGR,Фенгерола
FGU,Фангатау
FHZ,Факахина
FIE,Фейр-Айсл
FIG,Фриа
FIN,Финшхафен
FKB,Карлсруэ
FKJ,Фукуи
FKS,Фукушима
FLA,Флоренсиа
FLC,Фоллз-Крик
FLE,Петерсбург
FLF,Фленсбург
FLL,Форт Лодердейл
FLM,Филадельфия
FLN,Флорианополис
FLO,Флоренция
FLR,Флоренция
FLU,Нью-Йорк
FMA,Формоса
FMH,Фолмаут
FMI,Калемие
FMY,Форт Майерс
FNE,Фейн
FNG,Фада-Нгурма
FNH,Финча
FNI,Ним
FNJ,Пхеньян
FNT,Флинт
FOC,Фучжоу
FOG,Фоджия
FOM,Фумбан
FOO,Нумфоор
FOP,Форест Парк
FOR,Форталеса
FOU,Фугаму
FOY,Фойя
FRA,Франкфурт-на-Майне
FRC,Франка
FRE,Фера-Айленд
FRF,Франкфурт-на-Майне
FRJ,Фрехус
FRL,Форли
FRO,Флоро
FRQ,Ферамин
FRS,Флорес
FRT,Фрутильяр
FRU,Бишкек
FRW,Франсистаун
FSS,Форрес
FTA,Футуна-Айленд
FTI,Фитута
FTU,Форт-Дофин
FTW,Форт Уорт
FTY,Атланта
FUB,Фуллборн
FUG,Фуан
FUJ,Фуку
FUK,Фукуока
FUM,Фума
FUO,Фушань
FUT,Футуна-Айленд
FWA,Форт Уэйн
FWM,Форт-Вильям
FXE,Форт Лодердейл
FYM,Файетвилл
FYN,Фуюнь
FYT,Файя
FYV,Файетвилл
FZO,Бристоль
GAA,Гуамал
GAC,Грация
GAE,Габес
GAF,Гафса
GAJ,Ямагата
GAN,Ген-Айленд
GAO,Гуантанамо
GAP,Гусап
GAQ,Гао
GAR,Гарайна
GAS,Гарисса
GAT,Гап
GAV,Гаг-Айленд
GAW,Ганго
GAX,Гамба
GAY,Гайя
GBA,Биг-Бей
GBB,Гара-Джебилет
GBC,Гасуке
GBE,Габороне
GBF,Негарбо
GBJ,Мари-Галанте
GBK,Гбангбаток
GBM,Гарбахари
GBN,Сан Джованни Ротондо
GBO,Балтимор
GBS,Порт-Фицрой
GBZ,Грейт-Барьер-Айленд
GCC,Жилетте
GCI,Гернси
GCJ,Йоханнесбург
GDA,Гунда
GDG,Магдагачи
GDI,Гордил
GDJ,Гандаджика
GDL,Гуадалахара
GDN,Гданьск
GDP,Гуадалупе
GDQ,Гондэр
GDX,Магадан
GDZ,Геленджик
GEB,Гебе
GEC,Геситкале
GEF,Жева-Эйрстрип
GEG,Спокане
GEN,Осло
GER,Нуэва-Герона
GES,Женерал-Сантос
GEV,Галливаре
GEX,Гелонг
GFO,Бартика
GFR,Гранвиль
GFY,Грутфонтейн
GGC,Лумбала
GGL,Жилгал
GHD,Гимби
GHE,Гарахин
GHK,Гуш-Катиф
GHN,Гуанчжань
GHT,Гат
GHU,Гуалегуайчу
GIB,Гибралтар
GII,Сигуири
GIL,Гилгит
GIM,Миеле-Мимбале
GIS,Гизборн
GIT,Гейта
GIU,Сигирия
GJT,Гранд Джанкшн
GKA,Горока
GKE,Гайленкирхен
GKH,Горкха
GKO,Конгобумба
GKT,Гатлинбург
GLC,Гелади
GLF,Голфито
GLK,Галкайо
GLL,Гол
GLM,Гленормистон
GLN,Гулимим
GLO,Глучестер
GLP,Гулгубип
GLS,Гелвстон
GLT,Гледстоун
GLX,Галела
GLZ,Бреда
GMB,Гамбела
GMC,Герима
GME,Гомель
GMI,Гасмата-Айленд
GMM,Гамбома
GMN,Греймауз
GMS,Гимараес
GMY,Райндален
